book|chapter|verse|heading
Genesis|1|1|The Creation of the World
Genesis|2|1|The Seventh Day, God Rests
Genesis|2|4|The Creation of Man and Woman
Genesis|3|1|The Fall
Genesis|4|1|Cain and Abel
Genesis|5|1|Adam's Descendants to Noah
Genesis|6|1|Increasing Corruption on Earth
Genesis|6|9|Noah and the Flood
Genesis|8|1|The Flood Subsides
Genesis|8|20|God's Covenant with Noah
Genesis|9|18|Noah's Descendants
Genesis|10|1|Nations Descended from Noah
Genesis|11|1|The Tower of Babel
Genesis|11|10|Shem's Descendants
Genesis|11|27|Terah's Descendants
Genesis|12|1|The Call of Abram
Genesis|12|10|Abram and Sarai in Egypt
Genesis|13|1|Abram and Lot Separate
Genesis|14|1|Abram Rescues Lot
Genesis|14|17|Abram Blessed by Melchizedek
Genesis|15|1|God's Covenant with Abram
Genesis|16|1|Sarai and Hagar
Genesis|17|1|Abraham and the Covenant of Circumcision
Genesis|17|15|Isaac's Birth Promised
Genesis|18|22|Abraham Intercedes for Sodom
Genesis|19|1|God Rescues Lot
Genesis|19|23|God Destroys Sodom
Genesis|19|30|Lot and His Daughters
Genesis|20|1|Abraham and Abimelech
Genesis|21|1|The Birth of Isaac
Genesis|21|8|God Protects Hagar and Ishmael
Genesis|21|22|A Treaty with Abimelech
Genesis|22|1|The Sacrifice of Isaac
Genesis|23|1|Sarah's Death and Burial
Genesis|24|1|Isaac and Rebekah
Genesis|25|1|Abraham's Death and His Descendants
Genesis|25|19|The Birth of Esau and Jacob
Genesis|25|29|Esau Sells His Birthright
Genesis|26|1|God's Promise to Isaac
Genesis|26|6|Isaac and Abimelech
Genesis|27|1|Isaac Blesses Jacob
Genesis|28|1|Jacob Sent to Laban
Genesis|28|6|Esau Marries an Ishmaelite
Genesis|28|10|Jacob's Dream
Genesis|29|1|Jacob Marries Leah and Rachel
Genesis|29|31|Jacob's Children
Genesis|30|25|Jacob's Prosperity
Genesis|31|1|Jacob Flees from Laban
Genesis|32|2|Jacob Fears Esau
Genesis|32|22|Jacob Wrestles with God
Genesis|33|1|Jacob Meets Esau
Genesis|34|1|The Defiling of Dinah
Genesis|35|1|God Blesses and Renames Jacob
Genesis|35|16|The Deaths of Rachel and Isaac
Genesis|36|1|Esau's Descendants
Genesis|37|1|Joseph's Dreams
Genesis|37|12|Joseph Sold by His Brothers
Genesis|38|1|Judah and Tamar
